order_no,invoice_no,category,sub_category,purchase_header,buyer_employee_id,approver_employee_id,supplier_name,company_id,supplier_id,contract_value,created
EOR686810,EHR-600601489,Travel,Local,HOSPITAL AND SURGICAL EQUIPMENT INSTRUMENTS AND SUPPLIES,E601342,E601161,Rachel Accounting,ABN 47 346 628 832,S3045,670000,10-Nov-2021
EOR686811,EHR-600601490,Professional Services,Technical Consulting,Generators Portable and Stationary Including Parts and Acc,E601226,E600037,William Finance,ABN 42 385 674 247,S3084,640000,09-Mar-2021
EOR686812,EHR-600601491,Insurance,Property,AUTOMOTIVE VEHICLES AND RELATED TRANSPORTATION EQUIPMENT (IN,E601316,E600001,Andrew Finance,ABN 42 371 684 433,S3070,130000,08-Dec-2021
EOR686813,EHR-600601492,Professional Services,Technical Consulting,Lamps/Lighting Interior and Exterior,E600428,E600039,Arthur Lawyers,ABN 42 368 492 317,S3067,390000,20-Mar-2021
EOR686814,EHR-600601493,Administrative Support,Mail,Electrolytic Caloric and Water Balance,E601178,E600391,Arthur Lawyers,ABN 42 368 492 317,S3067,170000,17-Feb-2022
EOR686815,EHR-600601494,Information Technology,Software,ELECTRONIC EQUIPMENT COMPONENTS PARTS AND ACCESSORIES (SE,E601190,E600235,Mark Digital,ABN 47 380 123 857,S3079,400000,06-Apr-2021
EOR686816,EHR-600601495,Insurance,Commercial,Cosmetics and Skin Care: Colognes Creams Lipsticks Lotion,E600768,E600769,Lauren Finance,ABN 43 319 385 766,S3018,560000,15-Oct-2021
EOR686817,EHR-600601496,Administrative Support,Mail,Electrolytic Caloric and Water Balance,E600142,E600703,Patrick Apparel,ABN 48 339 691 515,S3038,280000,06-Nov-2021
EOR686818,EHR-600601497,Information Technology,Software,PLUMBING EQUIPMENT FIXTURES AND SUPPLIES,E600586,E601353,Brandy Physiotherapy,ABN 45 392 543 107,S3091,290000,03-Apr-2021
EOR686819,EHR-600601498,Travel,Local,PLUMBING EQUIPMENT FIXTURES AND SUPPLIES,E601110,E600235,Tiffany Apparel,ABN 45 376 312 757,S3075,290000,04-Jan-2022
EOR686820,EHR-600601499,Travel,Local,Syringes Hypodermic and Irrigation (Disposable) and Hypode,E600334,E601157,John Lawyers,ABN 44 308 583 722,S3007,250000,14-Aug-2021
EOR686821,EHR-600601500,Professional Services,Engineering,Professional Services (Not Otherwise Classified),E600168,E601043,Alexis Finance,ABN 43 330 750 303,S3029,880000,13-Jun-2021
EOR686822,EHR-600601501,Travel,Local,Syringes Hypodermic and Irrigation (Disposable) and Hypode,E600956,E601321,Stephanie Finance,ABN 42 341 567 697,S3040,630000,01-Feb-2022
EOR686823,EHR-600601502,Administrative Support,Printing,AUTOMOTIVE VEHICLES AND RELATED TRANSPORTATION EQUIPMENT (IN,E601114,E601231,Stephanie Clinic,ABN 47 377 126 660,S3076,160000,14-Jun-2021
EOR686824,EHR-600601503,Travel,Local,"LICENSE RENEWAL; PERSONAL COMPUTER SOFTWARE, PREPA",E601318,E601325,Jennifer Management,ABN 42 322 548 809,S3021,720000,11-Jun-2022
EOR686825,EHR-600601504,Insurance,Other Insurance,Surgical Instruments Operating Room Grade,E600104,E601383,Kevin Computers,ABN 44 344 159 482,S3043,20000,27-Mar-2021
EOR686826,EHR-600601505,Professional Services,Other Professional Services,Batteries All Types,E600060,E600033,Jennifer Management,ABN 42 322 548 809,S3021,330000,01-Dec-2021
EOR686827,EHR-600601506,Information Technology,Hardware,AUTOMOTIVE VEHICLES AND RELATED TRANSPORTATION EQUIPMENT (IN,E601092,E600929,Amanda Lawyers,ABN 43 311 447 799,S3010,710000,15-Oct-2021
EOR686828,EHR-600601507,Insurance,Event,Safety Training and Awareness Services (Highway Safety Boat,E601072,E601117,Richard Clinic,ABN 42 396 712 319,S3095,880000,08-Apr-2022
EOR686829,EHR-600601508,Insurance,Commercial,PUBLICATIONS  AUDIOVISUAL MATERIALS BOOKS TEXTBOOKS  (PRE,E600850,E600513,Russell Lawyers,ABN 45 381 409 477,S3080,40000,16-Jul-2021
EOR686830,EHR-600601509,Administrative Support,Mail,AUTOMOTIVE SHOP AND RELATED EQUIPMENT AND SUPPLIES,E600208,E600013,Richard Physiotherapy,ABN 47 326 771 456,S3025,860000,18-Jan-2022
EOR686831,EHR-600601510,Administrative Support,Stationery,Rent Exhibit Space Onsite,E600364,E600015,Ryan Apparel,ABN 45 335 745 488,S3034,170000,26-Mar-2021
EOR686832,EHR-600601511,Administrative Support,Stationery,Surgical Support Supplies incl. Post-Surgery (Not Otherwise,E601274,E600903,Maria Consulting,ABN 47 320 810 296,S3019,440000,07-Oct-2021
EOR686833,EHR-600601512,Insurance,Other Insurance,Analyzers and Accessories,E600908,E600115,Linda Property,ABN 47 361 621 790,S3060,310000,12-Feb-2021
EOR686834,EHR-600601513,Administrative Support,Printing,Grants Community Service Programs,E601416,E600343,Christine Digital,ABN 43 391 498 897,S3090,750000,25-Apr-2021
EOR686835,EHR-600601514,Administrative Support,Mail,Community Development Consulting,E601114,E600979,Monique Builders,ABN 45 301 598 208,S3000,230000,09-May-2021
EOR686836,EHR-600601515,Professional Services,Other Professional Services,AUTOMOTIVE VEHICLES AND RELATED TRANSPORTATION EQUIPMENT (IN,E600264,E601197,Sara Lawyers,ABN 41 358 411 432,S3057,360000,11-Jun-2021
EOR686837,EHR-600601516,Insurance,Other Insurance,Electrolytic Caloric and Water Balance,E600798,E601259,Sara Lawyers,ABN 41 358 411 432,S3057,270000,15-May-2021
EOR686838,EHR-600601517,Travel,International,Sanitizing and Disinfecting Services Security Fire Safety,E600410,E600255,Nicole Services,ABN 41 353 692 664,S3052,680000,07-Jul-2021
EOR686839,EHR-600601518,Administrative Support,Mail,Pipe Fittings Misc. (Not Otherwise Classified),E601098,E600791,Zachary Digital,ABN 43 323 584 552,S3022,130000,16-Jan-2022
EOR686840,EHR-600601519,Professional Services,Other Professional Services,Deodorants Room All Types,E600366,E600275,Nicholas Computers,ABN 44 356 165 369,S3055,210000,31-May-2022
EOR686841,EHR-600601520,Administrative Support,Mail,Bandages (All Types) Adhesive Tapes Dressings Plaster of,E601480,E600809,Karen Computers,ABN 46 388 106 109,S3087,190000,25-Jan-2022
EOR686842,EHR-600601521,Professional Services,Legal,CHEMICALS AND SOLVENTS COMMERCIAL (IN BULK),E600368,E600233,Sarah Accounting,ABN 45 340 804 343,S3039,210000,21-Apr-2021
EOR686843,EHR-600601522,Insurance,Other Insurance,Containers Paper and Plastic,E600770,E600945,Gabriel Digital,ABN 46 363 785 828,S3062,390000,28-Oct-2021
EOR686844,EHR-600601523,Information Technology,Hardware,Health Care Services (Not Otherwise Classified),E601108,E600913,Kari Hotel,ABN 42 332 235 727,S3031,80000,04-Mar-2022
EOR686845,EHR-600601524,Insurance,Commercial,FEED BEDDING VITAMINS AND SUPPLEMENTS FOR ANIMALS (SEE CLA,E600614,E600769,Stephanie Finance,ABN 42 341 567 697,S3040,60000,17-Aug-2021
EOR686846,EHR-600601525,Professional Services,Legal,FEED BEDDING VITAMINS AND SUPPLEMENTS FOR ANIMALS (SEE CLA,E601096,E601481,Justin Property,ABN 45 373 645 203,S3072,140000,15-May-2022
EOR686847,EHR-600601526,Travel,Local,Clips Wound (Not for Use in Automatic Suturing Instruments),E600796,E600687,Andrew Finance,ABN 42 371 684 433,S3070,550000,10-Nov-2021
EOR686848,EHR-600601527,Insurance,Commercial,Clips Wound (Not for Use in Automatic Suturing Instruments),E600612,E600845,Kevin Clinic,ABN 46 354 260 532,S3053,130000,13-Jun-2021
EOR686849,EHR-600601528,Professional Services,Technical Consulting,Catheters Specialized (And Guide Wires),E600290,E601283,Elaine Builders,ABN 41 370 432 783,S3069,450000,11-Apr-2021
EOR686850,EHR-600601529,Insurance,Event,ARCHITECTURAL SERVICES PROFESSIONAL,E601184,E600569,Alexis Finance,ABN 43 330 750 303,S3029,380000,22-Nov-2021
EOR686851,EHR-600601530,Administrative Support,Printing,Mops Heads and Handles Dry and Treated Types,E600764,E600151,Ronald Accounting,ABN 44 394 582 439,S3093,840000,04-Jul-2021
EOR686852,EHR-600601531,Professional Services,Other Professional Services,Cleaning Materials (For Dairy Equipment): Chlorine Sanitizer,E600028,E600669,Amanda Lawyers,ABN 43 311 447 799,S3010,210000,04-Nov-2021
EOR686853,EHR-600601532,Professional Services,Legal,Sutures and Suturing Needles Disposable (Including Skin Sta,E601178,E600951,John Lawyers,ABN 44 308 583 722,S3007,890000,27-Sep-2021
EOR686854,EHR-600601533,Insurance,Other Insurance,Gloves and Finger Cots Medical Type,E600200,E601103,Brandi Apparel,ABN 46 324 412 151,S3023,310000,21-Mar-2022
EOR686855,EHR-600601534,Information Technology,Hardware,PLUMBING EQUIPMENT FIXTURES AND SUPPLIES,E601364,E601123,Christine Trading,ABN 43 365 431 228,S3064,760000,02-Sep-2021
EOR686856,EHR-600601535,Information Technology,Hardware,Syringes Hypodermic and Irrigation (Disposable) and Hypode,E600894,E600697,Carol Lawyers,ABN 42 372 707 387,S3071,660000,29-Nov-2021
EOR686857,EHR-600601536,Insurance,Other Insurance,PAINTING EQUIPMENT AND ACCESSORIES,E600194,E601025,Jean Accounting,ABN 46 362 768 601,S3061,270000,06-Oct-2021
EOR686858,EHR-600601537,Insurance,Event,PUBLICATIONS  AUDIOVISUAL MATERIALS BOOKS TEXTBOOKS  (PRE,E600766,E601463,Nancy Management,ABN 42 383 612 748,S3082,490000,19-Jul-2021
EOR686859,EHR-600601538,Information Technology,Software,Surgical Support Supplies incl. Post-Surgery (Not Otherwise,E600512,E601245,Stephanie Clinic,ABN 47 377 126 660,S3076,320000,01-Feb-2022
EOR686860,EHR-600601539,Information Technology,Hardware,Eye Glasses Including Sunglasses  (Including Frames Cases,E600314,E600743,Christine Digital,ABN 43 391 498 897,S3090,120000,15-Aug-2021
EOR686861,EHR-600601540,Information Technology,Hardware,Switches Parts and Accessories (Miscellaneous),E601216,E600141,Russell Lawyers,ABN 45 381 409 477,S3080,880000,15-Sep-2021
EOR686862,EHR-600601541,Insurance,Event,Transportation of Goods and Other Freight Services,E600788,E601379,Christine Trading,ABN 43 365 431 228,S3064,880000,26-Mar-2021
EOR686863,EHR-600601542,Information Technology,Software,HOSPITAL SURGICAL AND MEDICAL RELATED ACCESSORIES AND SUND,E601440,E600963,Stephanie Finance,ABN 42 341 567 697,S3040,50000,09-Sep-2021
EOR686864,EHR-600601543,Professional Services,Technical Consulting,ELECTRICAL CABLES AND WIRES (NOT ELECTRONIC),E600544,E600675,Michele Management,ABN 44 378 482 301,S3077,350000,10-May-2021
EOR686865,EHR-600601544,Professional Services,Technical Consulting,ARCHITECTURAL SERVICES PROFESSIONAL,E601404,E601257,Joseph Builders,ABN 47 312 269 347,S3011,460000,02-Apr-2022
EOR686866,EHR-600601545,Administrative Support,Stationery,Electrolytic Caloric and Water Balance,E600860,E601033,Sarah Accounting,ABN 45 340 804 343,S3039,510000,27-Feb-2022
EOR686867,EHR-600601546,Insurance,Event,Binders: Chain Post Prong Ring etc.,E600204,E600479,Russell Lawyers,ABN 45 381 409 477,S3080,250000,30-May-2021
EOR686868,EHR-600601547,Information Technology,Hardware,Paper Goods: Diapers Medication Blister Cards Pillow Cases,E600816,E600547,Jean Accounting,ABN 46 362 768 601,S3061,500000,31-Jul-2021
EOR686869,EHR-600601548,Travel,International,AUTOMOTIVE VEHICLES AND RELATED TRANSPORTATION EQUIPMENT (IN,E600394,E601071,Mark Digital,ABN 47 380 123 857,S3079,880000,11-Sep-2021
EOR686870,EHR-600601549,Information Technology,Software,DATA PROCESSING COMPUTER PROGRAMMING AND SOFTWARE SERVICE,E600454,E600365,Evan Gardening,ABN 44 367 115 406,S3066,150000,25-Jun-2021
EOR686871,EHR-600601550,Travel,Local,FIRE PROTECTION EQUIPMENT AND SUPPLIES,E601094,E601265,John Apparel,ABN 45 374 774 544,S3073,230000,02-Apr-2022
EOR686872,EHR-600601551,Travel,International,General Maintenance and Repair Vehicle (Not Otherwise Class,E600432,E601083,Carol Lawyers,ABN 42 372 707 387,S3071,120000,18-Mar-2022
EOR686873,EHR-600601552,Professional Services,Engineering,Electrolytic Caloric and Water Balance,E600892,E601061,Matthew Gardening,ABN 48 327 378 235,S3026,320000,14-May-2022
EOR686874,EHR-600601553,Travel,Local,Orthopedic Equipment: Bone Plates Bone Saws Cast Cutters,E600776,E600725,Whitney Management,ABN 41 348 545 880,S3047,70000,08-Apr-2022
EOR686875,EHR-600601554,Insurance,Commercial,AUTOMOTIVE VEHICLES AND RELATED TRANSPORTATION EQUIPMENT (IN,E600968,E601087,Christine Digital,ABN 43 391 498 897,S3090,340000,08-Apr-2021
EOR686876,EHR-600601555,Professional Services,Other Professional Services,Ballasts All Kinds,E600300,E600053,Nancy Management,ABN 42 383 612 748,S3082,30000,20-Jun-2021
EOR686877,EHR-600601556,Information Technology,Software,Binders: Chain Post Prong Ring etc.,E601214,E600099,Ryan Builders,ABN 46 321 575 688,S3020,90000,17-Sep-2021
EOR686878,EHR-600601557,Insurance,Property,ELECTRICAL EQUIPMENT AND SUPPLIES (EXCEPT CABLE AND WIRE),E600376,E600421,Arthur Lawyers,ABN 42 368 492 317,S3067,230000,10-Jul-2021
EOR686879,EHR-600601558,Information Technology,Software,Hardware Fittings Parts and Supplies Boat (Except Spark,E601270,E600921,Chris Lawyers,ABN 47 393 455 339,S3092,410000,15-Feb-2022
EOR686880,EHR-600601559,Administrative Support,Stationery,Surgical Support Supplies incl. Post-Surgery (Not Otherwise,E600690,E600389,Kevin Clinic,ABN 46 354 260 532,S3053,30000,05-Aug-2021
EOR686881,EHR-600601560,Insurance,Commercial,Plumbing Equipment and Supplies,E600000,E600525,Joseph Digital,ABN 47 310 480 747,S3009,860000,22-Mar-2021
EOR686882,EHR-600601561,Professional Services,Engineering,Syringes Hypodermic and Irrigation (Disposable) and Hypode,E600184,E600147,Scott Builders,ABN 42 331 129 734,S3030,580000,09-Nov-2021
EOR686883,EHR-600601562,Information Technology,Hardware,Surgical Support Supplies incl. Post-Surgery (Not Otherwise,E600640,E600039,Brandi Apparel,ABN 46 324 412 151,S3023,310000,01-Nov-2021
EOR686884,EHR-600601563,Professional Services,Technical Consulting,Controls Programmable,E600738,E600751,Matthew Lawyers,ABN 43 360 354 182,S3059,550000,14-Apr-2021
EOR686885,EHR-600601564,Administrative Support,Stationery,AUTOMOTIVE VEHICLES AND RELATED TRANSPORTATION EQUIPMENT (IN,E600316,E600615,Tony Builders,ABN 42 355 413 240,S3054,540000,06-Aug-2021
EOR686886,EHR-600601565,Professional Services,Legal,Grants Community Service Programs,E600138,E600643,Scott Property,ABN 48 304 420 514,S3003,200000,23-Feb-2021
EOR686887,EHR-600601566,Insurance,Event,Camera Carrying Cases Gadget Bags etc.,E601256,E600659,Alexandra Builders,ABN 46 382 880 578,S3081,150000,26-Jul-2021
EOR686888,EHR-600601567,Travel,International,AUTOMOTIVE AND TRAILER BODIES BODY ACCESSORIES AND PARTS,E600174,E600971,Christine Digital,ABN 43 391 498 897,S3090,320000,27-Sep-2021
EOR686889,EHR-600601568,Travel,Local,Furniture Office Maintenance and Repair (Includes Refinish,E600310,E600179,Kenneth Hotel,ABN 43 306 153 129,S3005,350000,09-Feb-2022
EOR686890,EHR-600601569,Information Technology,Software,FURNITURE- OFFICE;BOOKCASE/CHAIR/DESK/FILE CABINET,E600526,E600455,Christine Trading,ABN 43 365 431 228,S3064,340000,11-Sep-2021
EOR686891,EHR-600601570,Professional Services,Technical Consulting,Sutures and Suturing Needles Disposable (Including Skin Sta,E601022,E600969,Richard Physiotherapy,ABN 47 326 771 456,S3025,120000,23-Aug-2021
EOR686892,EHR-600601571,Information Technology,Software,Bandages (All Types) Adhesive Tapes Dressings Plaster of,E600838,E601189,Chelsea Builders,ABN 42 395 758 883,S3094,820000,24-Apr-2022
EOR686893,EHR-600601572,Insurance,Event,COMPUTER SOFTWARE FOR MICROCOMPUTERS (PREPROGRAMMED),E601220,E600971,Alexandra Builders,ABN 46 382 880 578,S3081,710000,18-May-2022
EOR686894,EHR-600601573,Administrative Support,Stationery,Transportation of Goods and Other Freight Services,E601056,E600359,Richard Physiotherapy,ABN 47 326 771 456,S3025,890000,18-Mar-2021
EOR686895,EHR-600601574,Insurance,Other Insurance,FURNITURE: OFFICE,E600018,E600849,Zachary Lawyers,ABN 44 397 380 528,S3096,730000,21-Jun-2022
EOR686896,EHR-600601575,Professional Services,Technical Consulting,Electrolytic Caloric and Water Balance,E600610,E600759,Jacob Physiotherapy,ABN 44 352 560 555,S3051,590000,11-Oct-2021
EOR686897,EHR-600601576,Professional Services,Other Professional Services,Nails Brads Concrete Nails Masonry Nails Spikes Staples,E601460,E601401,Christine Digital,ABN 43 391 498 897,S3090,620000,05-Nov-2021
EOR686898,EHR-600601577,Information Technology,Hardware,COMPUTER HARDWARE AND PERIPHERALS FOR MICROCOMPUTERS,E600086,E601313,Joel Clinic,ABN 42 334 277 307,S3033,410000,01-Sep-2021
EOR686899,EHR-600601578,Professional Services,Technical Consulting,FURNITURE: OFFICE,E601040,E600107,Gabriel Digital,ABN 46 363 785 828,S3062,760000,01-Aug-2021
EOR686900,EHR-600601579,Professional Services,Engineering,Electrical Equipment and Supplies,E600426,E601463,Monique Builders,ABN 45 301 598 208,S3000,850000,10-Feb-2021
EOR686901,EHR-600601580,Travel,International,ELECTRICAL EQUIPMENT AND SUPPLIES (EXCEPT CABLE AND WIRE),E601286,E601375,Paul Builders,ABN 46 342 354 501,S3041,210000,19-Feb-2022
EOR686902,EHR-600601581,Information Technology,Software,Syringes Hypodermic and Irrigation (Disposable) and Hypode,E600524,E600483,Jacob Physiotherapy,ABN 44 352 560 555,S3051,290000,10-Jun-2022
EOR686903,EHR-600601582,Administrative Support,Mail,Surgical Support Supplies incl. Post-Surgery (Not Otherwise,E600938,E601253,Ryan Apparel,ABN 45 335 745 488,S3034,790000,04-Jan-2022
EOR686904,EHR-600601583,Professional Services,Technical Consulting,HAND TOOLS (POWERED AND NON-POWERED) ACCESSORIES AND SUPPLI,E601330,E600181,Katherine Lawyers,ABN 43 305 792 134,S3004,560000,01-May-2022
EOR686905,EHR-600601584,Professional Services,Technical Consulting,HVAC Equipment Accessories and Supplies (Not Otherwise Clas,E601004,E601475,Ryan Apparel,ABN 45 335 745 488,S3034,350000,17-Aug-2021
EOR686906,EHR-600601585,Professional Services,Technical Consulting,Electrolytic Caloric and Water Balance,E600580,E600555,Kelly Finance,ABN 48 314 682 276,S3013,320000,13-Oct-2021
EOR686907,EHR-600601586,Administrative Support,Mail,Hospital Wear Patient,E600378,E601019,Cindy Clinic,ABN 41 347 279 364,S3046,740000,19-Apr-2021
EOR686908,EHR-600601587,Insurance,Property,"LICENSE RENEWAL; PERSONAL COMPUTER SOFTWARE, PREPA",E600824,E600907,John Apparel,ABN 45 374 774 544,S3073,620000,11-Mar-2021
EOR686909,EHR-600601588,Insurance,Commercial,Needles Specialized: Amniocentesis Type Biopsy Spinal Su,E600356,E600071,Kenneth Hotel,ABN 43 306 153 129,S3005,590000,14-Mar-2021
EOR686910,EHR-600601589,Professional Services,Technical Consulting,AUTOMOTIVE VEHICLES AND RELATED TRANSPORTATION EQUIPMENT (IN,E600876,E600485,Nicholas Computers,ABN 44 356 165 369,S3055,850000,15-Apr-2022
EOR686911,EHR-600601590,Professional Services,Engineering,Undergarments and Sleepwear Female,E600910,E600971,Monica Finance,ABN 47 315 872 738,S3014,390000,21-Mar-2022
EOR686912,EHR-600601591,Professional Services,Technical Consulting,Boiler Maintenance and Repair Steam (Including Testing Serv,E601416,E600481,Katherine Lawyers,ABN 43 305 792 134,S3004,700000,26-Mar-2021
EOR686913,EHR-600601592,Administrative Support,Stationery,FURNITURE- OFFICE;BOOKCASE/CHAIR/DESK/FILE CABINET,E601250,E600175,John Apparel,ABN 45 374 774 544,S3073,650000,19-Apr-2022
EOR686914,EHR-600601593,Insurance,Event,Catheters Specialized (And Guide Wires),E600204,E600273,James Events,ABN 42 389 414 773,S3088,370000,13-Feb-2021
EOR686915,EHR-600601594,Travel,Local,CHEMICALS AND SOLVENTS COMMERCIAL (IN BULK),E600556,E600049,Christine Digital,ABN 43 391 498 897,S3090,690000,11-Nov-2021
EOR686916,EHR-600601595,Travel,International,Bandages (All Types) Adhesive Tapes Dressings Plaster of,E601438,E600095,Kimberly Lawyers,ABN 46 317 150 125,S3016,480000,20-Aug-2021
EOR686917,EHR-600601596,Insurance,Event,AUTOMOTIVE VEHICLES AND RELATED TRANSPORTATION EQUIPMENT (IN,E601050,E601497,Chris Lawyers,ABN 47 393 455 339,S3092,610000,11-Jun-2021
EOR686918,EHR-600601597,Insurance,Commercial,Safety Training and Awareness Services (Highway Safety Boat,E600400,E600703,Laura Events,ABN 46 343 795 444,S3042,620000,23-Mar-2022
EOR686919,EHR-600601598,Information Technology,Hardware,AUTOMOTIVE SHOP AND RELATED EQUIPMENT AND SUPPLIES,E601080,E600467,Patrick Apparel,ABN 48 339 691 515,S3038,180000,11-Jan-2022
EOR686920,EHR-600601599,Administrative Support,Mail,FEED BEDDING VITAMINS AND SUPPLEMENTS FOR ANIMALS (SEE CLA,E600230,E601399,Ryan Builders,ABN 46 321 575 688,S3020,220000,16-Dec-2021
EOR686921,EHR-600601600,Information Technology,Software,PLUMBING EQUIPMENT FIXTURES AND SUPPLIES,E600862,E601089,Alexandra Builders,ABN 46 382 880 578,S3081,550000,25-Apr-2022
EOR686922,EHR-600601601,Administrative Support,Mail,Gloves and Finger Cots Medical Type,E601174,E600953,Christie Property,ABN 45 349 357 654,S3048,510000,28-Jan-2022
EOR686923,EHR-600601602,Professional Services,Engineering,FURNITURE: OFFICE,E600650,E600351,Russell Lawyers,ABN 45 381 409 477,S3080,40000,02-Feb-2022
EOR686924,EHR-600601603,Insurance,Other Insurance,Sample Collecting Diluting and Multiple Dispensing Apparatu,E600882,E601037,Carol Lawyers,ABN 42 372 707 387,S3071,220000,23-Jul-2021
EOR686925,EHR-600601604,Information Technology,Software,Gloves and Finger Cots Medical Type,E600694,E600311,Kenneth Hotel,ABN 43 306 153 129,S3005,710000,07-Sep-2021
EOR686926,EHR-600601605,Information Technology,Hardware,Hospital Wear Patient,E601388,E600555,Matthew Gardening,ABN 48 327 378 235,S3026,110000,11-Apr-2021
EOR686927,EHR-600601606,Professional Services,Engineering,Fees (Not Otherwise Classified),E600122,E600823,Tony Builders,ABN 42 355 413 240,S3054,130000,03-Mar-2021
EOR686928,EHR-600601607,Travel,Local,AUTOMOTIVE VEHICLES AND RELATED TRANSPORTATION EQUIPMENT (IN,E600932,E600333,Kari Hotel,ABN 42 332 235 727,S3031,550000,24-Feb-2022
EOR686929,EHR-600601608,Administrative Support,Stationery,AUTOMOTIVE VEHICLES AND RELATED TRANSPORTATION EQUIPMENT (IN,E600494,E600907,Amanda Lawyers,ABN 43 311 447 799,S3010,530000,18-Nov-2021
EOR686930,EHR-600601609,Professional Services,Technical Consulting,Care Supplies Patient (Not Otherwise Classified),E600010,E600089,Brandi Apparel,ABN 46 324 412 151,S3023,770000,28-Sep-2021
EOR686931,EHR-600601610,Administrative Support,Stationery,Surgical Instruments Operating Room Grade,E600956,E600887,Sarah Accounting,ABN 45 340 804 343,S3039,640000,27-Nov-2021
EOR686932,EHR-600601611,Professional Services,Other Professional Services,RADIO COMMUNICATION TELEPHONE AND TELECOMMUNICATION EQUIPM,E601094,E601395,Karen Computers,ABN 46 388 106 109,S3087,470000,28-Dec-2021
EOR686933,EHR-600601612,Administrative Support,Printing,AUTOMOTIVE VEHICLES AND RELATED TRANSPORTATION EQUIPMENT (IN,E601238,E600379,Jean Accounting,ABN 46 362 768 601,S3061,20000,16-Aug-2021
EOR686934,EHR-600601613,Administrative Support,Printing,ELECTRONIC EQUIPMENT COMPONENTS PARTS AND ACCESSORIES (SE,E600296,E600099,Nancy Management,ABN 42 383 612 748,S3082,270000,04-Jul-2021
EOR686935,EHR-600601614,Insurance,Event,General Maintenance and Repair Vehicle (Not Otherwise Class,E600874,E601259,Steven Hotel,ABN 48 364 668 375,S3063,250000,30-Mar-2021
EOR686936,EHR-600601615,Information Technology,Software,FURNITURE: OFFICE,E600346,E600803,Mason Builders,ABN 41 329 128 864,S3028,570000,21-May-2021
EOR686937,EHR-600601616,Professional Services,Legal,Surgical Support Supplies incl. Post-Surgery (Not Otherwise,E600248,E600605,Brandy Physiotherapy,ABN 45 392 543 107,S3091,150000,07-Apr-2022
EOR686938,EHR-600601617,Professional Services,Legal,ROAD AND HIGHWAY BUILDING MATERIALS (ASPHALTIC),E600774,E600583,Ryan Apparel,ABN 45 335 745 488,S3034,140000,24-Mar-2022
EOR686939,EHR-600601618,Insurance,Commercial,FURNITURE- OFFICE;BOOKCASE/CHAIR/DESK/FILE CABINET,E601402,E600151,Gabriel Digital,ABN 46 363 785 828,S3062,270000,23-Nov-2021
EOR686940,EHR-600601619,Information Technology,Software,Catheters Specialized (And Guide Wires),E600610,E600439,Tony Builders,ABN 42 355 413 240,S3054,390000,14-May-2021
EOR686941,EHR-600601620,Professional Services,Technical Consulting,PLUMBING EQUIPMENT FIXTURES AND SUPPLIES,E601098,E601125,Julie Apparel,ABN 42 398 293 588,S3097,190000,20-May-2022
EOR686942,EHR-600601621,Professional Services,Other Professional Services,AUTOMOTIVE VEHICLES AND RELATED TRANSPORTATION EQUIPMENT (IN,E600844,E600237,Maria Property,ABN 46 350 736 329,S3049,340000,04-May-2021
EOR686943,EHR-600601622,Professional Services,Legal,ELECTRICAL EQUIPMENT AND SUPPLIES (EXCEPT CABLE AND WIRE),E600692,E601357,Michele Management,ABN 44 378 482 301,S3077,150000,16-May-2022
EOR686944,EHR-600601623,Travel,Local,Sutures and Suturing Needles Disposable (Including Skin Sta,E600156,E601073,Michael Hotel,ABN 46 325 766 730,S3024,270000,08-May-2021
EOR686945,EHR-600601624,Professional Services,Engineering,COMPUTER SOFTWARE FOR MINI AND MAINFRAME COMPUTERS (PREPROGR,E600608,E600677,Jose Finance,ABN 45 318 829 567,S3017,800000,21-Feb-2021
EOR686946,EHR-600601625,Insurance,Property,TELECOMMUNICATION EQUIPMENT ACCESSORIES AND SUPPLIES,E600188,E600953,Andrew Finance,ABN 42 371 684 433,S3070,130000,28-May-2022
EOR686947,EHR-600601626,Travel,International,FIRE PROTECTION EQUIPMENT AND SUPPLIES,E600348,E600131,Kristin Property,ABN 48 351 707 284,S3050,640000,10-Feb-2021
EOR686948,EHR-600601627,Information Technology,Hardware,Bandages (All Types) Adhesive Tapes Dressings Plaster of,E600786,E600705,Keith Management,ABN 46 333 653 400,S3032,410000,10-Feb-2022
EOR686949,EHR-600601628,Professional Services,Engineering,Boiler Maintenance and Repair Steam (Including Testing Serv,E600064,E600539,Kenneth Hotel,ABN 43 306 153 129,S3005,310000,01-Jun-2021
EOR686950,EHR-600601629,Insurance,Other Insurance,Locks Key Blanks and Locksmith Tools  (Including Time Lock,E600226,E601199,Kevin Computers,ABN 44 344 159 482,S3043,190000,08-Mar-2022
EOR686951,EHR-600601630,Administrative Support,Mail,Community Development Consulting,E601188,E600331,Scott Builders,ABN 42 331 129 734,S3030,30000,14-Nov-2021
EOR686952,EHR-600601631,Insurance,Event,COMPUTER ACCESSORIES AND SUPPLIES,E600156,E600655,Matthew Lawyers,ABN 43 360 354 182,S3059,400000,17-Nov-2021
EOR686953,EHR-600601632,Travel,Local,Surgical Support Supplies incl. Post-Surgery (Not Otherwise,E600062,E601079,William Physiotherapy,ABN 46 313 472 590,S3012,750000,27-May-2021
EOR686954,EHR-600601633,Professional Services,Engineering,Sutures and Suturing Needles Disposable (Including Skin Sta,E601238,E600191,Jessica Clinic,ABN 42 386 592 614,S3085,40000,29-Apr-2021
